max_iter,learning_rate_init,hidden_layer_sizes_1,hidden_layer_sizes_2,early_stopping,activation,validation_score
2000,0.01,100,200,True,relu,0.7609652824359002
5000,0.01,100,200,True,relu,0.7609652824359002
3000,0.01,100,200,True,relu,0.7609652824359002
4000,0.01,100,200,True,relu,0.7609652824359002
1000,0.01,100,200,True,relu,0.7609652824359002
1000,0.001,200,50,False,tanh,0.7595180165500396
4000,0.001,200,50,False,tanh,0.7595180165500396
3000,0.001,200,50,False,tanh,0.7595180165500396
5000,0.001,200,50,False,tanh,0.7595180165500396
2000,0.001,200,50,False,tanh,0.7595180165500396
5000,0.001,100,200,False,relu,0.7592025310591821
4000,0.001,100,200,False,relu,0.7592025310591821
2000,0.001,100,200,False,relu,0.7592025310591821
1000,0.001,100,200,False,relu,0.7592025310591821
3000,0.001,100,200,False,relu,0.7592025310591821
3000,0.001,100,50,False,tanh,0.7520475013069106
5000,0.001,100,50,False,tanh,0.7520475013069106
4000,0.001,100,50,False,tanh,0.7520475013069106
1000,0.001,100,50,False,tanh,0.7520475013069106
2000,0.001,100,50,False,tanh,0.7520475013069106
3000,0.001,200,50,True,relu,0.7511547920966883
1000,0.001,200,50,True,relu,0.7511547920966883
5000,0.001,200,50,True,relu,0.7511547920966883
4000,0.001,200,50,True,relu,0.7511547920966883
2000,0.001,200,50,True,relu,0.7511547920966883
1000,0.001,50,100,False,relu,0.7510950191097887
5000,0.001,50,100,False,relu,0.7510950191097887
3000,0.001,50,100,False,relu,0.7510950191097887
4000,0.001,50,100,False,relu,0.7510950191097887
2000,0.001,50,100,False,relu,0.7510950191097887
4000,0.001,50,100,False,tanh,0.7509162398844054
2000,0.001,50,100,False,tanh,0.7509162398844054
3000,0.001,50,100,False,tanh,0.7509162398844054
1000,0.001,50,100,False,tanh,0.7509162398844054
5000,0.001,50,100,False,tanh,0.7509162398844054
4000,0.001,100,50,False,relu,0.7506245461360248
1000,0.001,100,50,False,relu,0.7506245461360248
2000,0.001,100,50,False,relu,0.7506245461360248
3000,0.001,100,50,False,relu,0.7506245461360248
5000,0.001,100,50,False,relu,0.7506245461360248
2000,0.001,200,200,False,relu,0.750229017266931
5000,0.001,200,200,False,relu,0.750229017266931
4000,0.001,200,200,False,relu,0.750229017266931
3000,0.001,200,200,False,relu,0.750229017266931
1000,0.001,200,200,False,relu,0.750229017266931
5000,0.001,200,100,True,relu,0.7501595529219711
3000,0.001,200,100,True,relu,0.7501595529219711
4000,0.001,200,100,True,relu,0.7501595529219711
